z_lo,z_hi,wave_rest,flux_norm,err_norm,n_contrib
2.0,2.4,1541.0,0.598855,0.028435,5000
2.0,2.4,1542.0,0.553535,0.033425,5000
2.0,2.4,1543.0,0.554135,0.027855,5000
2.0,2.4,1544.0,0.560331,0.034499,5000
2.0,2.4,1545.0,0.572552,0.029437,5000
2.0,2.4,1546.0,0.587027,0.036273,5000
2.0,2.4,1547.0,0.680548,0.028582,5000
2.0,2.4,1548.0,0.643646,0.029587,5000
2.0,2.4,1549.0,0.733272,0.035683,5000
2.0,2.4,1550.0,0.770505,0.031422,5000
2.0,2.4,1551.0,0.764854,0.028207,5000
2.0,2.4,1552.0,0.697296,0.030237,5000
2.0,2.4,1553.0,0.723533,0.031432,5000
2.0,2.4,1554.0,0.6559,0.031278,5000
2.0,2.4,1555.0,0.629847,0.028143,5000
2.0,2.4,1556.0,0.631528,0.035493,5000
2.0,2.4,1557.0,0.659073,0.028523,5000
2.0,2.4,1558.0,0.696246,0.030691,5000
2.0,2.4,1559.0,0.653507,0.031815,5000
2.0,2.4,1560.0,0.623285,0.028433,5000
2.0,2.4,1561.0,0.615222,0.030215,5000
2.0,2.4,1562.0,0.591195,0.031548,5000
2.0,2.4,1563.0,0.54993,0.031352,5000
2.0,2.4,1564.0,0.621753,0.027819,5000
2.0,2.4,1565.0,0.594103,0.028771,5000
2.0,2.4,1566.0,0.576253,0.029895,5000
2.0,2.4,1567.0,0.605637,0.031272,5000
2.0,2.4,1568.0,0.621374,0.029311,5000
2.0,2.4,1569.0,0.647327,0.029046,5000
2.0,2.4,1570.0,0.665393,0.031819,5000
2.0,2.4,1571.0,0.589752,0.030817,5000
2.0,2.4,1572.0,0.632572,0.031395,5000
2.0,2.4,1573.0,0.6123,0.029543,5000
2.0,2.4,1574.0,0.607399,0.03502,5000
2.0,2.4,1575.0,0.562415,0.03328,5000
2.0,2.4,1576.0,0.61487,0.03197,5000
2.0,2.4,1577.0,0.640989,0.032695,5000
2.0,2.4,1578.0,0.599059,0.030268,5000
2.0,2.4,1579.0,0.588368,0.031963,5000
2.0,2.4,1580.0,0.646689,0.028656,5000
2.0,2.4,1581.0,0.60823,0.03511,5000
