z_lo,z_hi,logL_lo,logL_hi,logL_med,z_med,wave_rest,flux_norm,err_norm,n_contrib
2.0,2.4,42.0,42.5,42.466,2.2317,1354.0,0.373231,0.13184,445
2.0,2.4,42.0,42.5,42.466,2.2317,1355.0,0.3734,0.132046,445
2.0,2.4,42.0,42.5,42.466,2.2317,1356.0,0.247232,0.142049,445
2.0,2.4,42.0,42.5,42.466,2.2317,1357.0,0.536699,0.127596,445
2.0,2.4,42.0,42.5,42.466,2.2317,1358.0,0.602751,0.151456,445
2.0,2.4,42.0,42.5,42.466,2.2317,1359.0,0.283999,0.143913,445
2.0,2.4,42.0,42.5,42.466,2.2317,1360.0,0.204078,0.138786,445
2.0,2.4,42.0,42.5,42.466,2.2317,1361.0,0.631987,0.14674,445
2.0,2.4,42.0,42.5,42.466,2.2317,1362.0,0.438503,0.130137,445
2.0,2.4,42.0,42.5,42.466,2.2317,1363.0,0.429163,0.147889,445
2.0,2.4,42.0,42.5,42.466,2.2317,1364.0,0.268576,0.138608,445
2.0,2.4,42.0,42.5,42.466,2.2317,1365.0,0.486585,0.157116,445
2.0,2.4,42.0,42.5,42.466,2.2317,1366.0,0.344519,0.148866,445
2.0,2.4,42.0,42.5,42.466,2.2317,1367.0,0.286698,0.134866,445
2.0,2.4,42.0,42.5,42.466,2.2317,1368.0,0.506773,0.155291,445
2.0,2.4,42.0,42.5,42.466,2.2317,1369.0,0.330478,0.127445,445
2.0,2.4,42.0,42.5,42.466,2.2317,1370.0,0.465712,0.164809,445
2.0,2.4,42.0,42.5,42.466,2.2317,1371.0,0.44536,0.123551,445
2.0,2.4,42.0,42.5,42.466,2.2317,1372.0,0.204631,0.134029,445
2.0,2.4,42.0,42.5,42.466,2.2317,1373.0,0.598905,0.163281,445
2.0,2.4,42.0,42.5,42.466,2.2317,1374.0,0.511111,0.136288,445
2.0,2.4,42.0,42.5,42.466,2.2317,1375.0,0.346988,0.127134,445
